tavg,tmin,tmax,prcp,wspd,pres,date
29.4,24.7,35.1,0.0,7.6,1012.7,2024-09-09
30.7,25.8,36.8,4.9,6.8,1017.6,2024-09-10
27.0,22.1,33.0,0.0,3.3,1008.4,2024-09-11
28.6,23.8,34.5,0.7,3.2,1003.6,2024-09-12
29.9,24.7,36.1,0.0,4.3,1006.3,2024-09-13
28.7,23.9,34.6,0.0,9.4,1011.2,2024-09-14
27.9,22.8,34.0,0.0,10.9,1015.6,2024-09-15
28.4,23.5,34.4,0.0,10.0,1006.6,2024-09-16
28.4,23.2,34.9,0.0,8.5,1012.9,2024-09-17
30.0,25.2,35.9,0.0,9.9,1009.5,2024-09-18
30.0,25.0,36.2,0.0,7.7,1017.4,2024-09-19
27.8,22.6,34.1,0.0,3.4,1007.9,2024-09-20
30.4,25.4,36.5,0.2,10.0,1006.4,2024-09-21
28.1,23.5,33.7,0.0,11.1,1017.2,2024-09-22
28.9,24.2,34.6,0.0,11.4,1015.7,2024-09-23
29.0,24.2,34.8,0.0,4.7,1019.1,2024-09-24
27.9,23.0,33.8,0.0,10.4,1011.0,2024-09-25
29.5,24.4,35.7,17.5,4.2,1009.8,2024-09-26
27.1,21.9,33.5,7.6,7.0,1006.1,2024-09-27
29.0,24.1,35.0,0.0,5.8,1005.5,2024-09-28
29.3,24.4,35.4,0.0,9.2,1011.7,2024-09-29
29.2,24.6,34.8,0.7,7.8,1000.3,2024-09-30
27.6,22.2,34.0,0.0,11.4,1010.8,2024-10-01
26.0,20.5,32.8,0.0,7.9,1017.6,2024-10-02
24.0,18.6,30.5,4.8,4.8,1016.7,2024-10-03
27.7,22.3,34.4,0.0,5.3,1013.1,2024-10-04
25.8,19.8,33.1,0.0,9.6,1012.8,2024-10-05
25.6,20.3,32.1,0.0,5.7,1010.2,2024-10-06
25.1,19.8,31.7,0.0,5.7,1016.8,2024-10-07
24.7,19.6,30.8,0.0,5.7,1005.9,2024-10-08
24.3,18.7,31.2,0.0,4.5,1014.5,2024-10-09
26.2,21.1,32.6,7.1,3.5,1004.8,2024-10-10
27.2,21.3,34.3,0.0,4.6,1007.4,2024-10-11
25.6,20.3,32.0,0.0,5.7,1010.6,2024-10-12
26.4,21.2,32.8,0.0,9.9,1014.2,2024-10-13
27.8,22.3,34.5,0.0,3.2,1014.3,2024-10-14
26.2,20.4,33.3,0.0,9.4,1011.4,2024-10-15
25.1,19.9,31.4,0.0,3.2,1009.1,2024-10-16
26.3,21.0,32.7,0.0,6.7,1008.7,2024-10-17
25.3,20.2,31.5,0.0,7.3,1017.7,2024-10-18
26.6,21.0,33.4,0.0,6.3,1016.5,2024-10-19
25.1,19.7,31.9,0.0,3.6,1008.2,2024-10-20
24.5,18.8,31.4,0.0,7.2,1016.2,2024-10-21
27.1,21.9,33.4,0.0,4.1,1011.5,2024-10-22
26.3,20.9,32.9,0.0,3.8,1010.4,2024-10-23
26.7,20.9,33.8,0.0,5.0,1010.6,2024-10-24
25.3,20.3,31.5,0.0,11.7,1005.5,2024-10-25
24.5,19.2,31.0,0.0,5.6,1015.8,2024-10-26
27.0,22.0,33.1,0.0,7.8,1010.0,2024-10-27
27.1,21.6,33.8,0.0,9.7,1024.2,2024-10-28
25.2,19.5,32.0,0.0,10.3,1006.6,2024-10-29
27.2,21.9,33.7,0.0,6.7,1006.8,2024-10-30
26.2,20.8,32.7,0.0,6.8,1024.2,2024-10-31
21.9,16.9,27.9,0.0,10.2,1012.1,2024-11-01
21.2,16.2,27.3,0.0,10.9,998.4,2024-11-02
22.7,17.1,29.6,4.0,4.0,1012.5,2024-11-03
22.6,17.1,29.3,0.0,7.4,1017.2,2024-11-04
22.5,16.9,29.4,0.0,8.5,1008.6,2024-11-05
19.8,14.8,25.9,0.0,7.2,1014.2,2024-11-06
21.6,16.5,27.8,0.0,4.5,1013.6,2024-11-07
22.2,17.1,28.4,0.0,8.6,1012.4,2024-11-08
22.2,16.6,29.0,0.0,10.0,1007.3,2024-11-09
20.5,15.0,27.3,0.0,5.8,1020.4,2024-11-10
22.5,17.0,29.3,0.0,3.7,1015.0,2024-11-11
23.1,17.9,29.4,0.0,8.2,1015.0,2024-11-12
20.2,14.6,27.1,0.0,4.3,1005.2,2024-11-13
22.2,16.8,28.8,0.0,8.9,1011.7,2024-11-14
21.0,15.4,27.9,0.0,6.6,1016.3,2024-11-15
22.2,16.4,29.2,0.0,11.0,1012.2,2024-11-16
20.9,15.6,27.5,0.0,4.5,1012.2,2024-11-17
22.1,16.6,28.8,0.0,8.8,1011.2,2024-11-18
22.0,16.8,28.4,1.8,7.8,1004.7,2024-11-19
23.8,18.6,30.3,0.0,9.8,1015.0,2024-11-20
23.2,17.8,29.8,0.0,3.3,1013.0,2024-11-21
23.7,18.4,30.2,0.0,7.2,1016.9,2024-11-22
21.2,16.0,27.6,8.4,9.7,1012.2,2024-11-23
20.1,14.4,27.0,8.8,9.7,1005.9,2024-11-24
20.6,15.3,27.2,0.0,3.1,1019.3,2024-11-25
21.1,15.5,27.8,0.0,8.5,1020.7,2024-11-26
22.1,16.7,28.8,0.0,11.4,1014.9,2024-11-27
23.7,18.2,30.4,1.8,6.3,1010.8,2024-11-28
22.0,16.6,28.6,0.0,10.4,1011.2,2024-11-29
22.5,16.8,29.4,0.0,9.5,1010.7,2024-11-30
19.9,14.6,26.5,0.0,5.1,1011.4,2024-12-01
18.6,13.1,25.3,0.0,3.4,1004.3,2024-12-02
19.2,14.0,25.5,0.0,7.1,1007.9,2024-12-03
17.9,12.4,24.6,0.0,7.7,1013.6,2024-12-04
17.0,11.4,23.7,0.0,5.4,1008.1,2024-12-05
19.3,13.9,25.8,0.0,11.5,1014.4,2024-12-06
19.1,13.8,25.5,0.0,5.9,1002.1,2024-12-07
19.2,14.0,25.6,0.0,6.8,1012.8,2024-12-08
20.1,14.8,26.5,0.0,3.2,1008.6,2024-12-09
20.5,15.3,26.8,0.0,8.4,1011.8,2024-12-10
19.0,13.6,25.6,0.0,7.0,1012.7,2024-12-11
18.1,12.9,24.4,0.0,9.8,1017.7,2024-12-12
18.3,13.2,24.5,0.0,11.8,1019.7,2024-12-13
17.4,12.0,24.0,0.0,5.7,1005.5,2024-12-14
20.7,15.4,27.2,0.0,5.5,1010.2,2024-12-15
17.9,12.6,24.4,0.0,11.9,1023.9,2024-12-16
19.2,13.5,26.1,0.0,3.9,1010.9,2024-12-17
17.4,12.1,23.9,0.0,9.1,1007.7,2024-12-18
19.2,13.4,26.3,0.0,10.2,1013.8,2024-12-19
18.7,13.7,24.9,0.0,4.3,1015.3,2024-12-20
17.4,12.0,24.0,0.0,7.6,1001.2,2024-12-21
18.0,12.4,24.9,0.0,9.2,1008.5,2024-12-22
18.1,12.6,24.9,0.0,9.3,1013.4,2024-12-23
19.4,13.8,26.2,0.0,6.9,1019.1,2024-12-24
19.7,14.3,26.3,0.0,6.8,1006.2,2024-12-25
19.3,14.1,25.7,0.0,6.7,1018.9,2024-12-26
19.0,13.7,25.5,0.0,3.7,1013.3,2024-12-27
19.3,14.0,25.8,0.0,9.8,1019.4,2024-12-28
18.1,12.7,24.7,0.0,10.6,1019.9,2024-12-29
19.2,13.7,25.9,0.0,8.3,1001.3,2024-12-30
18.8,13.6,25.2,0.0,10.9,1006.2,2024-12-31
20.1,15.3,26.0,0.5,4.3,1006.5,2025-01-01
18.1,13.1,24.1,0.0,6.9,1003.0,2025-01-02
20.3,15.2,26.5,0.0,7.6,1010.6,2025-01-03
18.6,13.5,24.7,0.0,9.4,1007.0,2025-01-04
18.9,14.1,24.9,0.0,11.3,1024.2,2025-01-05
18.2,13.1,24.4,0.0,3.4,1013.1,2025-01-06
20.2,15.3,26.1,0.0,7.8,1008.1,2025-01-07
18.6,13.4,24.9,0.0,3.1,1002.3,2025-01-08
18.5,13.6,24.5,0.0,4.2,1010.1,2025-01-09
19.8,14.7,26.1,0.0,5.0,1015.1,2025-01-10
20.2,15.4,26.2,0.0,7.4,1012.0,2025-01-11
19.0,14.2,24.8,0.0,7.8,1015.8,2025-01-12
17.8,12.7,24.0,0.0,11.7,1011.8,2025-01-13
20.1,15.1,26.1,0.0,3.1,1012.9,2025-01-14
18.2,13.2,24.3,0.0,6.3,1013.2,2025-01-15
18.6,14.0,24.3,0.0,3.4,1005.8,2025-01-16
18.8,14.2,24.3,0.0,3.6,1015.1,2025-01-17
18.6,13.1,25.2,0.0,4.6,1014.2,2025-01-18
18.7,13.8,24.7,0.0,4.2,1009.0,2025-01-19
19.4,14.4,25.5,0.0,10.3,1013.8,2025-01-20
18.4,13.5,24.5,0.0,3.2,1017.2,2025-01-21
18.4,13.8,24.1,0.0,10.7,1009.5,2025-01-22
19.2,14.2,25.2,0.0,5.5,1015.5,2025-01-23
19.8,15.1,25.7,0.0,5.8,1010.4,2025-01-24
18.7,13.5,25.1,0.0,4.7,1007.2,2025-01-25
18.7,14.2,24.2,0.0,10.1,1010.9,2025-01-26
19.8,14.9,25.8,0.0,10.8,1013.1,2025-01-27
18.9,13.6,25.5,0.0,6.6,1012.3,2025-01-28
18.1,13.0,24.3,0.0,9.9,1021.6,2025-01-29
17.2,11.9,23.7,0.0,4.5,1011.5,2025-01-30
18.1,13.2,24.0,0.0,3.6,1012.4,2025-01-31
20.7,15.0,27.5,0.0,11.6,1015.9,2025-02-01
20.7,15.6,26.8,0.0,5.3,1010.9,2025-02-02
21.2,16.0,27.6,4.1,6.8,1008.2,2025-02-03
19.1,13.8,25.6,0.0,5.5,1004.9,2025-02-04
21.7,15.9,28.7,0.0,4.3,1009.4,2025-02-05
20.9,15.4,27.7,0.0,8.2,1019.6,2025-02-06
22.0,16.7,28.5,0.0,9.3,1018.4,2025-02-07
22.4,17.0,29.1,0.0,4.1,1015.0,2025-02-08
20.4,15.0,27.0,0.0,5.6,1002.8,2025-02-09
20.7,15.3,27.4,0.0,8.4,1014.8,2025-02-10
21.5,16.1,28.1,0.0,8.4,1010.8,2025-02-11
21.3,16.1,27.6,0.0,5.2,1016.3,2025-02-12
20.2,14.6,27.2,0.0,8.5,1004.7,2025-02-13
21.0,15.6,27.7,0.0,3.7,1005.6,2025-02-14
21.6,15.9,28.5,0.0,9.8,1014.1,2025-02-15
20.2,14.5,27.1,0.0,10.2,1006.7,2025-02-16
20.0,14.8,26.3,0.0,5.9,1011.2,2025-02-17
20.0,14.7,26.3,0.0,11.0,1015.3,2025-02-18
19.4,14.0,26.0,0.0,6.6,1019.1,2025-02-19
20.7,15.3,27.3,0.0,8.8,1012.5,2025-02-20
21.5,16.4,27.8,0.0,8.6,1012.1,2025-02-21
21.2,15.5,28.1,0.0,6.2,1017.0,2025-02-22
19.1,14.0,25.5,0.0,7.7,1015.1,2025-02-23
19.4,14.0,25.9,0.0,5.6,1013.3,2025-02-24
20.0,14.4,26.7,0.0,10.3,1010.7,2025-02-25
20.9,15.5,27.4,0.0,5.8,1019.6,2025-02-26
20.2,15.3,26.3,0.0,3.7,1003.5,2025-02-27
19.3,13.8,26.1,0.0,8.1,1015.2,2025-02-28
23.6,17.9,30.6,0.0,9.0,1002.1,2025-03-01
24.1,18.1,31.3,0.0,7.5,1013.0,2025-03-02
24.5,18.8,31.5,0.0,6.7,1004.9,2025-03-03
22.4,16.3,29.8,0.0,7.7,1012.0,2025-03-04
25.6,20.2,32.2,0.0,7.0,1002.5,2025-03-05
23.7,17.9,30.7,0.0,4.5,1017.1,2025-03-06
25.9,20.3,32.8,0.0,5.3,1013.7,2025-03-07
25.6,19.7,32.8,0.0,6.0,1011.2,2025-03-08
23.6,17.7,30.8,0.0,5.7,1014.0,2025-03-09
25.4,19.7,32.4,0.0,10.1,1004.0,2025-03-10
25.4,19.5,32.5,0.0,4.3,1011.0,2025-03-11
24.1,18.5,30.9,0.0,4.8,1009.7,2025-03-12
24.8,19.1,31.8,0.0,6.3,1020.4,2025-03-13
25.1,18.7,32.8,0.0,8.5,1004.5,2025-03-14
25.1,19.4,32.1,0.0,5.9,1015.7,2025-03-15
23.8,17.9,31.0,0.0,11.4,1014.4,2025-03-16
25.4,19.7,32.4,0.0,4.7,1012.5,2025-03-17
24.7,18.7,32.1,0.0,4.3,1014.3,2025-03-18
24.6,18.8,31.7,0.0,10.2,1011.7,2025-03-19
21.2,15.3,28.4,0.0,4.3,1009.3,2025-03-20
26.4,20.5,33.6,0.0,9.1,1013.4,2025-03-21
23.1,17.6,30.0,0.0,11.2,1012.3,2025-03-22
25.3,19.8,32.1,0.0,10.0,1014.9,2025-03-23
25.3,19.8,32.2,0.0,10.0,1009.7,2025-03-24
24.4,18.6,31.4,0.0,8.7,1009.3,2025-03-25
24.7,18.3,32.5,0.0,8.9,1012.9,2025-03-26
23.9,18.2,30.9,0.0,9.8,1015.5,2025-03-27
24.9,19.0,32.1,0.0,3.9,1014.6,2025-03-28
24.6,18.3,32.4,0.0,11.1,1017.3,2025-03-29
22.8,17.0,30.0,0.0,3.9,1010.5,2025-03-30
24.3,18.5,31.4,0.0,11.1,1009.0,2025-03-31
26.9,21.3,33.8,0.0,3.8,1018.1,2025-04-01
27.7,21.8,35.0,0.0,7.3,1011.0,2025-04-02
29.1,23.0,36.6,0.0,11.7,1022.3,2025-04-03
28.2,22.1,35.8,0.0,6.8,1001.1,2025-04-04
26.8,21.1,33.8,0.0,9.5,1017.4,2025-04-05
27.6,21.7,34.7,0.0,11.1,1008.7,2025-04-06
25.7,20.0,32.8,0.0,5.7,1009.0,2025-04-07
28.0,21.8,35.6,0.0,10.0,1006.8,2025-04-08
27.4,21.0,35.1,0.0,3.3,1013.4,2025-04-09
25.8,19.8,33.0,0.0,10.6,1016.9,2025-04-10
30.2,24.2,37.5,0.8,9.2,1009.4,2025-04-11
29.2,23.1,36.6,0.0,9.6,1018.5,2025-04-12
26.3,20.5,33.3,0.0,10.4,1006.6,2025-04-13
27.1,21.4,34.1,0.0,5.7,1014.8,2025-04-14
27.3,21.5,34.2,0.0,4.0,1008.4,2025-04-15
29.7,24.0,36.5,0.0,9.6,1006.1,2025-04-16
28.0,22.3,35.0,0.0,5.0,1007.3,2025-04-17
26.5,20.6,33.7,0.0,9.2,1009.0,2025-04-18
27.3,20.9,35.1,0.0,4.8,1015.7,2025-04-19
27.8,22.2,34.8,0.0,8.5,1017.8,2025-04-20
26.4,20.4,33.6,0.0,9.9,1008.1,2025-04-21
29.0,23.4,35.8,0.0,3.7,1014.9,2025-04-22
27.4,21.3,34.8,0.0,8.2,1010.9,2025-04-23
27.5,21.4,34.8,0.0,6.3,1012.3,2025-04-24
28.1,22.5,35.0,0.0,8.2,1007.9,2025-04-25
26.0,20.4,32.8,0.0,3.3,1011.9,2025-04-26
25.7,19.9,32.7,0.0,11.0,1012.5,2025-04-27
27.6,21.6,34.9,10.8,8.8,1016.8,2025-04-28
27.5,21.4,35.0,0.0,9.8,1009.3,2025-04-29
27.6,21.3,35.4,0.0,7.3,1015.1,2025-04-30
29.8,23.6,37.4,0.0,4.4,1010.3,2025-05-01
30.5,24.4,38.0,0.0,7.1,1020.6,2025-05-02
28.9,22.4,36.9,0.0,8.0,1009.1,2025-05-03
30.3,24.1,37.9,0.0,7.1,1004.7,2025-05-04
29.3,23.0,37.0,0.0,4.2,1013.6,2025-05-05
29.3,22.7,37.4,0.0,3.4,1012.4,2025-05-06
29.4,23.1,37.1,0.0,10.0,1007.8,2025-05-07
29.6,23.2,37.5,0.0,3.4,1015.5,2025-05-08
28.4,22.0,36.2,0.0,3.8,1012.1,2025-05-09
29.6,23.5,37.0,0.0,4.1,1016.1,2025-05-10
30.5,24.1,38.2,0.0,8.8,1008.3,2025-05-11
29.5,22.9,37.5,0.0,10.0,1009.3,2025-05-12
29.0,22.7,36.6,0.0,4.3,1020.2,2025-05-13
29.8,23.2,37.8,0.0,10.9,1015.9,2025-05-14
28.7,22.2,36.8,0.0,10.8,1009.3,2025-05-15
29.8,23.6,37.5,0.0,4.4,1008.4,2025-05-16
31.1,24.6,39.1,0.0,7.5,1010.0,2025-05-17
30.8,24.3,38.8,0.0,11.6,1005.9,2025-05-18
31.6,25.4,39.3,0.0,11.6,1010.5,2025-05-19
29.5,23.2,37.3,1.6,3.0,1008.9,2025-05-20
30.0,23.6,38.0,2.5,9.4,1015.6,2025-05-21
30.1,23.6,38.1,0.0,10.5,1010.4,2025-05-22
29.2,22.6,37.2,0.0,6.8,1017.0,2025-05-23
28.7,22.4,36.4,0.0,7.6,1018.9,2025-05-24
29.2,22.9,36.9,0.0,9.9,1003.7,2025-05-25
32.4,26.1,40.1,0.0,5.3,1015.4,2025-05-26
31.4,25.4,38.7,5.3,11.4,1011.2,2025-05-27
28.9,22.6,36.7,0.0,3.6,1021.4,2025-05-28
30.1,23.8,37.8,0.0,10.7,999.2,2025-05-29
29.8,23.4,37.6,0.0,9.7,1012.8,2025-05-30
29.4,22.9,37.2,0.0,10.2,1019.3,2025-05-31
31.9,25.7,39.6,0.0,6.6,1010.9,2025-06-01
32.1,26.1,39.5,0.0,3.5,1019.0,2025-06-02
34.3,28.0,42.0,0.0,11.9,1012.8,2025-06-03
32.6,26.3,40.4,7.3,4.0,1009.1,2025-06-04
32.6,26.7,39.8,0.0,4.7,1018.7,2025-06-05
32.4,25.8,40.4,0.0,5.3,1016.4,2025-06-06
33.4,26.6,41.6,0.0,10.4,1018.2,2025-06-07
31.4,25.0,39.3,4.8,5.5,1007.2,2025-06-08
31.5,25.0,39.5,0.0,5.8,1020.8,2025-06-09
31.8,25.4,39.7,0.0,3.9,1014.8,2025-06-10
33.1,27.0,40.6,0.0,9.2,1012.5,2025-06-11
31.7,25.0,40.0,0.0,5.6,1013.9,2025-06-12
30.6,24.6,38.0,0.0,10.4,1021.2,2025-06-13
32.4,25.8,40.4,0.0,11.7,1010.7,2025-06-14
32.9,26.7,40.4,0.0,3.2,1014.3,2025-06-15
30.7,24.6,38.2,0.0,11.7,1018.6,2025-06-16
32.5,25.8,40.8,3.1,10.6,1018.4,2025-06-17
32.7,26.3,40.4,0.0,3.7,1015.7,2025-06-18
32.0,26.1,39.2,0.0,7.7,1011.8,2025-06-19
32.8,26.4,40.6,0.0,10.4,1009.1,2025-06-20
33.2,27.1,40.5,0.0,10.9,1006.5,2025-06-21
32.3,26.1,39.8,0.0,8.2,1018.9,2025-06-22
32.9,26.7,40.6,1.7,7.7,1012.7,2025-06-23
31.4,24.9,39.3,0.0,8.7,1002.4,2025-06-24
30.8,24.6,38.3,0.0,10.1,1020.5,2025-06-25
33.5,27.2,41.2,0.0,4.7,1016.2,2025-06-26
31.4,25.1,39.1,0.0,9.6,1017.2,2025-06-27
31.9,25.6,39.7,0.0,10.1,1005.2,2025-06-28
31.1,24.8,38.9,0.0,5.2,1011.9,2025-06-29
31.0,24.7,38.7,0.0,6.7,1010.1,2025-06-30
29.3,24.8,34.7,0.0,5.4,1011.4,2025-07-01
28.9,24.2,34.7,6.8,5.0,1006.3,2025-07-02
29.0,24.7,34.3,0.0,4.8,1009.1,2025-07-03
29.0,24.8,34.2,0.0,8.9,1007.3,2025-07-04
31.0,26.4,36.6,0.0,10.7,1017.7,2025-07-05
30.4,26.3,35.3,9.1,9.3,1010.5,2025-07-06
30.5,26.0,36.0,0.0,5.7,1009.1,2025-07-07
27.1,22.9,32.3,0.0,7.5,1021.2,2025-07-08
29.7,24.9,35.6,0.0,9.4,1013.6,2025-07-09
27.3,22.8,32.9,1.8,5.8,1009.2,2025-07-10
28.3,23.5,34.2,0.0,11.4,1011.6,2025-07-11
30.7,26.4,35.9,0.0,3.8,1012.4,2025-07-12
30.5,25.5,36.6,0.0,9.7,1013.1,2025-07-13
30.0,25.9,35.0,0.0,5.1,1013.7,2025-07-14
29.7,24.8,35.7,1.5,7.6,1019.5,2025-07-15
29.3,24.7,34.9,0.0,9.9,1007.5,2025-07-16
29.5,24.9,35.0,0.0,3.5,1011.3,2025-07-17
30.1,25.7,35.5,0.0,7.9,1004.3,2025-07-18
27.5,22.6,33.6,0.0,3.0,1015.6,2025-07-19
29.3,24.9,34.7,0.0,10.3,1008.4,2025-07-20
28.3,24.0,33.5,0.0,11.9,1007.4,2025-07-21
28.6,24.1,34.3,0.0,8.6,1016.0,2025-07-22
28.8,24.2,34.5,0.0,12.0,1013.2,2025-07-23
29.1,24.5,34.7,0.0,10.4,1011.4,2025-07-24
28.4,24.4,33.4,6.5,11.0,1006.4,2025-07-25
26.7,22.2,32.2,0.0,6.3,1015.2,2025-07-26
29.1,24.6,34.6,24.2,11.8,1006.2,2025-07-27
28.6,23.8,34.3,0.0,8.6,1018.6,2025-07-28
28.7,24.3,34.0,0.0,7.5,1019.3,2025-07-29
29.7,25.0,35.5,0.0,3.3,1011.5,2025-07-30
29.2,24.8,34.7,0.1,5.8,1008.1,2025-07-31
29.1,24.5,34.8,0.0,9.5,1007.1,2025-08-01
28.9,24.5,34.2,0.0,6.6,1009.6,2025-08-02
29.0,24.7,34.1,1.8,5.0,1004.1,2025-08-03
28.0,23.3,33.7,21.7,6.7,1009.0,2025-08-04
29.1,24.7,34.6,0.0,8.5,1022.8,2025-08-05
28.1,23.7,33.5,0.0,10.2,1010.4,2025-08-06
28.4,24.1,33.7,0.0,9.3,1017.4,2025-08-07
27.7,23.5,32.8,0.0,5.1,1018.2,2025-08-08
29.5,25.0,35.0,3.6,11.7,1013.7,2025-08-09
31.0,26.4,36.5,0.0,8.9,1008.2,2025-08-10
29.5,24.9,35.2,0.0,9.4,1013.9,2025-08-11
26.3,21.9,31.5,3.3,9.2,1017.1,2025-08-12
29.3,25.2,34.3,3.5,8.3,1013.1,2025-08-13
28.7,24.0,34.4,0.0,9.4,1014.2,2025-08-14
29.2,24.9,34.4,0.0,7.1,1019.0,2025-08-15
30.3,26.2,35.2,0.0,6.1,1022.2,2025-08-16
29.3,24.9,34.6,0.0,5.2,1011.2,2025-08-17
29.9,25.3,35.5,0.0,5.8,1013.1,2025-08-18
29.4,24.6,35.3,0.0,5.8,1011.6,2025-08-19
27.8,23.6,33.0,7.9,5.8,1015.8,2025-08-20
29.9,25.3,35.4,0.0,4.3,1011.1,2025-08-21
29.8,25.6,35.0,0.0,8.8,1011.6,2025-08-22
29.0,24.4,34.8,19.7,6.4,1017.4,2025-08-23
30.0,25.5,35.3,0.0,9.4,1016.9,2025-08-24
29.8,24.8,36.0,0.0,8.6,1009.1,2025-08-25
28.9,24.4,34.3,0.0,11.5,1016.0,2025-08-26
28.2,23.8,33.6,0.0,9.9,1015.4,2025-08-27
28.4,24.3,33.4,0.0,5.2,1017.4,2025-08-28
30.3,25.4,36.3,0.0,9.6,1005.4,2025-08-29
28.6,24.1,34.2,0.0,8.2,1008.3,2025-08-30
29.6,25.3,35.0,0.0,6.1,1005.9,2025-08-31
27.9,23.1,33.9,3.8,3.7,1019.2,2025-09-01
28.3,23.1,34.5,0.0,4.0,1018.1,2025-09-02
29.4,24.4,35.4,0.0,8.3,1006.2,2025-09-03
29.2,24.3,35.2,0.0,3.8,1005.0,2025-09-04
28.3,23.0,34.9,6.3,10.6,1008.0,2025-09-05
29.9,25.0,36.0,0.0,8.7,1009.1,2025-09-06
27.8,23.0,33.6,0.0,8.6,1018.8,2025-09-07
27.7,22.7,33.8,0.0,3.7,1016.0,2025-09-08
28.5,23.6,34.5,5.4,9.8,1005.5,2025-09-09
29.4,24.7,35.1,0.0,7.6,1012.7,2025-09-10
30.7,25.8,36.8,4.9,6.8,1017.6,2025-09-11
27.0,22.1,33.0,0.0,3.3,1008.4,2025-09-12
28.6,23.8,34.5,0.7,3.2,1003.6,2025-09-13
29.9,24.7,36.1,0.0,4.3,1006.3,2025-09-14
28.7,23.9,34.6,0.0,9.4,1011.2,2025-09-15
27.9,22.8,34.0,0.0,10.9,1015.6,2025-09-16
28.4,23.5,34.4,0.0,10.0,1006.6,2025-09-17
28.4,23.2,34.9,0.0,8.5,1012.9,2025-09-18
30.0,25.2,35.9,0.0,9.9,1009.5,2025-09-19
30.0,25.0,36.2,0.0,7.7,1017.4,2025-09-20
27.8,22.6,34.1,0.0,3.4,1007.9,2025-09-21
30.4,25.4,36.5,0.2,10.0,1006.4,2025-09-22
28.1,23.5,33.7,0.0,11.1,1017.2,2025-09-23
28.9,24.2,34.6,0.0,11.4,1015.7,2025-09-24
29.0,24.2,34.8,0.0,4.7,1019.1,2025-09-25
27.9,23.0,33.8,0.0,10.4,1011.0,2025-09-26
29.5,24.4,35.7,17.5,4.2,1009.8,2025-09-27
27.1,21.9,33.5,7.6,7.0,1006.1,2025-09-28
29.0,24.1,35.0,0.0,5.8,1005.5,2025-09-29
29.3,24.4,35.4,0.0,9.2,1011.7,2025-09-30
26.7,21.7,32.9,0.0,3.8,1009.7,2025-10-01
