,robos,tavg,tmin,tmax,prcp,wspd,pres,precio_dolar,año,mes,dia,dia_semana_num,quincena,dias_desde_pago,has_event,es_fin_semana,es_dia_pago,es_festivo,despues_festivo,antes_festivo,is_outlier,h_lag_1,h_lag_2,h_lag_3,h_lag_7,h_lag_14,h_lag_28,h_roll_mean_7,h_roll_mean_14,h_roll_mean_28,amplitud_termica,llueve,dolar_ret,robos_lag_1,robos_lag_7,robos_lag_14,dow,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,target
28,0.0,25.1,19.8,31.7,0.0,5.7,1016.8,19.27667999267578,2024.0,10.0,7.0,0.0,1.0,3.0,0,0,0,0,0,0,1,4.0,2.0,8.0,7.0,1.0,4.0,5.571428571428571,6.071428571428571,5.607142857142857,11.899999999999999,0,-0.003042110227592709,0.0,0.0,0.0,0,False,False,False,False,False,False,12.0
29,0.0,24.7,19.6,30.8,0.0,5.7,1005.9,19.289670944213867,2024.0,10.0,8.0,1.0,1.0,4.0,0,0,0,0,0,0,0,12.0,4.0,2.0,3.0,5.0,4.0,6.285714285714286,6.857142857142857,5.892857142857143,11.2,0,0.0006739205891792555,0.0,0.0,0.0,1,True,False,False,False,False,False,6.0
30,0.0,24.3,18.7,31.2,0.0,4.5,1014.5,19.345399856567383,2024.0,10.0,9.0,2.0,1.0,5.0,1,0,0,0,0,0,0,6.0,12.0,4.0,8.0,7.0,1.0,6.714285714285714,6.928571428571429,5.964285714285714,12.5,0,0.0028890545885766894,0.0,0.0,0.0,2,False,True,False,False,False,False,7.0
31,0.0,26.2,21.1,32.6,7.1,3.5,1004.8,19.467449188232425,2024.0,10.0,10.0,3.0,1.0,6.0,1,0,0,0,0,0,0,7.0,6.0,12.0,7.0,12.0,3.0,6.571428571428571,6.928571428571429,6.178571428571429,11.5,1,0.00630895885171423,0.0,0.0,0.0,3,False,False,True,False,False,False,5.0
32,0.0,27.2,21.3,34.3,0.0,4.6,1007.4,19.438400268554688,2024.0,10.0,11.0,4.0,1.0,0.0,1,0,1,0,0,0,1,5.0,7.0,6.0,8.0,10.0,7.0,6.285714285714286,6.428571428571429,6.25,12.999999999999996,0,-0.0014921790418899183,0.0,0.0,0.0,4,False,False,False,True,False,False,2.0
33,0.0,25.6,20.3,32.0,0.0,5.7,1010.6,19.438400268554688,2024.0,10.0,12.0,5.0,1.0,1.0,1,1,0,0,0,0,1,2.0,5.0,7.0,2.0,7.0,3.0,5.428571428571429,5.857142857142857,6.071428571428571,11.7,0,0.0,0.0,0.0,0.0,5,False,False,False,False,True,False,13.0
34,0.0,26.4,21.2,32.8,0.0,9.9,1014.2,19.438400268554688,2024.0,10.0,13.0,6.0,1.0,2.0,0,1,0,0,0,0,0,13.0,2.0,5.0,4.0,4.0,14.0,7.0,6.285714285714286,6.428571428571429,11.599999999999998,0,0.0,0.0,0.0,0.0,6,False,False,False,False,False,True,3.0
35,0.0,27.8,22.3,34.5,0.0,3.2,1014.3,19.29953956604004,2024.0,10.0,14.0,0.0,1.0,3.0,0,0,0,0,0,0,1,3.0,13.0,2.0,12.0,7.0,2.0,6.857142857142857,6.214285714285714,6.035714285714286,12.2,0,-0.007143628107055822,0.0,0.0,0.0,0,False,False,False,False,False,False,10.0
36,0.0,26.2,20.4,33.3,0.0,9.4,1011.4,19.425949096679688,2024.0,10.0,15.0,1.0,1.0,0.0,0,0,1,0,0,0,1,10.0,3.0,13.0,6.0,3.0,4.0,6.571428571428571,6.428571428571429,6.321428571428571,12.899999999999999,0,0.006549872871686624,0.0,0.0,0.0,1,True,False,False,False,False,False,11.0
37,0.0,25.1,19.9,31.4,0.0,3.2,1009.1,19.69510078430176,2024.0,10.0,16.0,2.0,2.0,1.0,0,0,0,0,0,0,0,11.0,10.0,3.0,7.0,8.0,8.0,7.285714285714286,7.0,6.571428571428571,11.5,0,0.013855265772732661,0.0,0.0,0.0,2,False,True,False,False,False,False,5.0
38,0.0,26.3,21.0,32.7,0.0,6.7,1008.7,19.898700714111328,2024.0,10.0,17.0,3.0,2.0,2.0,0,0,0,0,0,0,0,5.0,11.0,10.0,5.0,7.0,6.0,7.0,6.785714285714286,6.464285714285714,11.700000000000003,0,0.010337592685580432,0.0,0.0,0.0,3,False,False,True,False,False,False,1.0
39,0.0,25.3,20.2,31.5,0.0,7.3,1017.7,19.81681060791016,2024.0,10.0,18.0,4.0,2.0,0.0,0,0,1,0,0,0,0,1.0,5.0,11.0,2.0,8.0,6.0,6.428571428571429,6.357142857142857,6.285714285714286,11.3,0,-0.004115349407868396,0.0,0.0,0.0,4,False,False,False,True,False,False,6.0
40,0.0,26.6,21.0,33.4,0.0,6.3,1016.5,19.81681060791016,2024.0,10.0,19.0,5.0,2.0,1.0,0,1,0,0,0,0,0,6.0,1.0,5.0,13.0,2.0,7.0,7.0,6.214285714285714,6.285714285714286,12.399999999999999,0,0.0,0.0,0.0,0.0,5,False,False,False,False,True,False,3.0
41,0.0,25.1,19.7,31.9,0.0,3.6,1008.2,19.81681060791016,2024.0,10.0,20.0,6.0,2.0,2.0,0,1,0,0,0,0,0,3.0,6.0,1.0,3.0,4.0,3.0,5.571428571428571,6.285714285714286,6.142857142857143,12.2,0,0.0,0.0,0.0,0.0,6,False,False,False,False,False,True,6.0
42,0.0,24.5,18.8,31.4,0.0,7.2,1016.2,19.868560791015625,2024.0,10.0,21.0,0.0,2.0,3.0,0,0,0,0,0,0,0,6.0,3.0,6.0,10.0,12.0,1.0,6.0,6.428571428571429,6.25,12.599999999999998,0,0.002611428454829534,0.0,0.0,0.0,0,False,False,False,False,False,False,4.0
43,0.0,27.1,21.9,33.4,0.0,4.1,1011.5,19.96080017089844,2024.0,10.0,22.0,1.0,2.0,4.0,0,0,0,0,0,0,0,4.0,6.0,3.0,11.0,6.0,5.0,5.142857142857143,5.857142857142857,6.357142857142857,11.5,0,0.004642479183722514,0.0,0.0,0.0,1,True,False,False,False,False,False,2.0
44,0.0,26.3,20.9,32.9,0.0,3.8,1010.4,19.936199188232425,2024.0,10.0,23.0,2.0,2.0,5.0,0,0,0,0,0,0,0,2.0,4.0,6.0,5.0,7.0,7.0,3.857142857142857,5.571428571428571,6.25,12.0,0,-0.0012324647536866573,0.0,0.0,0.0,2,False,True,False,False,False,False,7.0
45,0.0,26.7,20.9,33.8,0.0,5.0,1010.6,19.832460403442383,2024.0,10.0,24.0,3.0,2.0,6.0,0,0,0,0,0,0,0,7.0,2.0,4.0,1.0,5.0,12.0,4.142857142857143,5.571428571428571,6.25,12.899999999999999,0,-0.005203538739283697,0.0,0.0,0.0,3,False,False,True,False,False,False,6.0
46,0.0,25.3,20.3,31.5,0.0,11.7,1005.5,19.81419944763184,2024.0,10.0,25.0,4.0,2.0,0.0,0,0,1,0,0,0,1,6.0,7.0,2.0,6.0,2.0,10.0,4.857142857142857,5.642857142857143,6.035714285714286,11.2,0,-0.0009207609867394329,0.0,0.0,0.0,4,False,False,False,True,False,False,11.0
47,0.0,24.5,19.2,31.0,0.0,5.6,1015.8,19.81419944763184,2024.0,10.0,26.0,5.0,2.0,1.0,0,1,0,0,0,0,1,11.0,6.0,7.0,3.0,13.0,7.0,5.571428571428571,6.285714285714286,6.071428571428571,11.8,0,0.0,0.0,0.0,0.0,5,False,False,False,False,True,False,14.0
48,0.0,27.0,22.0,33.1,0.0,7.8,1010.0,19.81419944763184,2024.0,10.0,27.0,6.0,2.0,2.0,0,1,0,0,0,0,1,14.0,11.0,6.0,6.0,3.0,4.0,7.142857142857143,6.357142857142857,6.321428571428571,11.100000000000001,0,0.0,0.0,0.0,0.0,6,False,False,False,False,False,True,13.0
49,0.0,27.1,21.6,33.8,0.0,9.7,1024.2,19.946569442749023,2024.0,10.0,28.0,0.0,2.0,3.0,0,0,0,0,0,0,0,13.0,14.0,11.0,4.0,10.0,7.0,8.142857142857142,7.071428571428571,6.642857142857143,12.199999999999996,0,0.006680562364734133,0.0,0.0,0.0,0,False,False,False,False,False,False,3.0
50,0.0,25.2,19.5,32.0,0.0,10.3,1006.6,20.02873992919922,2024.0,10.0,29.0,1.0,2.0,4.0,0,0,0,0,0,0,0,3.0,13.0,14.0,2.0,11.0,3.0,8.0,6.571428571428571,6.5,12.5,0,0.004119529761047014,0.0,0.0,0.0,1,True,False,False,False,False,False,3.0
51,0.0,27.2,21.9,33.7,0.0,6.7,1006.8,20.05377960205078,2024.0,10.0,30.0,2.0,2.0,5.0,0,0,0,0,0,0,0,3.0,3.0,13.0,7.0,5.0,8.0,8.142857142857142,6.0,6.5,11.800000000000004,0,0.001250187128100766,0.0,0.0,0.0,2,False,True,False,False,False,False,2.0
52,0.0,26.2,20.8,32.7,0.0,6.8,1024.2,20.1639404296875,2024.0,10.0,31.0,3.0,2.0,0.0,0,0,1,0,0,0,0,2.0,3.0,3.0,6.0,1.0,7.0,7.428571428571429,5.785714285714286,6.285714285714286,11.900000000000002,0,0.0054932700878718155,0.0,0.0,0.0,3,False,False,True,False,False,False,1.0
53,0.0,21.9,16.9,27.9,0.0,10.2,1012.1,20.050689697265625,2024.0,11.0,1.0,4.0,1.0,0.0,0,0,1,0,0,1,0,1.0,2.0,3.0,11.0,6.0,8.0,6.714285714285714,5.785714285714286,6.071428571428571,11.0,0,-0.005616498065781572,0.0,0.0,0.0,4,False,False,False,True,False,False,1.0
54,0.0,21.2,16.2,27.3,0.0,10.9,998.4,20.050689697265625,2024.0,11.0,2.0,5.0,1.0,1.0,0,1,0,1,0,0,0,1.0,1.0,2.0,14.0,3.0,2.0,5.285714285714286,5.428571428571429,5.821428571428571,11.100000000000001,0,0.0,0.0,0.0,0.0,5,False,False,False,False,True,False,2.0
55,0.0,22.7,17.1,29.6,4.0,4.0,1012.5,20.050689697265625,2024.0,11.0,3.0,6.0,1.0,2.0,0,1,0,0,1,0,0,2.0,1.0,1.0,13.0,6.0,4.0,3.5714285714285716,5.357142857142857,5.821428571428571,12.5,1,0.0,0.0,0.0,0.0,6,False,False,False,False,False,True,7.0
56,0.0,22.6,17.1,29.3,0.0,7.4,1017.2,20.08181953430176,2024.0,11.0,4.0,0.0,1.0,3.0,0,0,0,0,0,0,0,7.0,2.0,1.0,3.0,4.0,12.0,2.7142857142857144,5.428571428571429,5.928571428571429,12.2,0,0.001552556919794279,0.0,0.0,0.0,0,False,False,False,False,False,False,2.0
57,0.0,22.5,16.9,29.4,0.0,8.5,1008.6,20.093900680541992,2024.0,11.0,5.0,1.0,1.0,4.0,0,0,0,0,0,0,0,2.0,7.0,2.0,3.0,2.0,6.0,2.5714285714285716,5.285714285714286,5.571428571428571,12.5,0,0.0006015961959819904,0.0,0.0,0.0,1,True,False,False,False,False,False,4.0
58,0.0,19.8,14.8,25.9,0.0,7.2,1014.2,20.13159942626953,2024.0,11.0,6.0,2.0,1.0,5.0,0,0,0,0,0,0,0,4.0,2.0,7.0,2.0,7.0,7.0,2.7142857142857144,5.428571428571429,5.5,11.099999999999998,0,0.001876128797831944,0.0,0.0,0.0,2,False,True,False,False,False,False,3.0
59,0.0,21.6,16.5,27.8,0.0,4.5,1013.6,20.16700935363769,2024.0,11.0,7.0,3.0,1.0,6.0,0,0,0,0,0,0,0,3.0,4.0,2.0,1.0,6.0,5.0,2.857142857142857,5.142857142857143,5.357142857142857,11.3,0,0.0017589227074503722,0.0,0.0,0.0,3,False,False,True,False,False,False,3.0
60,0.0,22.2,17.1,28.4,0.0,8.6,1012.4,19.793569564819336,2024.0,11.0,8.0,4.0,1.0,0.0,0,0,1,0,0,0,0,3.0,3.0,4.0,1.0,11.0,2.0,3.142857142857143,4.928571428571429,5.285714285714286,11.299999999999997,0,-0.01851736081785449,0.0,0.0,0.0,4,False,False,False,True,False,False,5.0
61,0.0,22.2,16.6,29.0,0.0,10.0,1007.3,19.793569564819336,2024.0,11.0,9.0,5.0,1.0,1.0,1,1,0,0,0,0,0,5.0,3.0,3.0,2.0,14.0,13.0,3.7142857142857144,4.5,5.392857142857143,12.399999999999999,0,0.0,0.0,0.0,0.0,5,False,False,False,False,True,False,4.0
62,0.0,20.5,15.0,27.3,0.0,5.8,1020.4,19.793569564819336,2024.0,11.0,10.0,6.0,1.0,2.0,1,1,0,0,0,0,0,4.0,5.0,3.0,7.0,13.0,3.0,4.0,3.7857142857142856,5.071428571428571,12.3,0,0.0,0.0,0.0,0.0,6,False,False,False,False,False,True,7.0
63,0.0,22.5,17.0,29.3,0.0,3.7,1015.0,20.13759994506836,2024.0,11.0,11.0,0.0,1.0,3.0,1,0,0,0,0,0,0,7.0,4.0,5.0,2.0,3.0,10.0,4.0,3.357142857142857,5.214285714285714,12.3,0,0.01738091652050966,0.0,0.0,0.0,0,False,False,False,False,False,False,5.0
64,0.0,23.1,17.9,29.4,0.0,8.2,1015.0,20.339500427246094,2024.0,11.0,12.0,1.0,1.0,4.0,1,0,0,0,0,0,0,5.0,7.0,4.0,4.0,3.0,11.0,4.428571428571429,3.5,5.035714285714286,11.5,0,0.010026044947187396,0.0,0.0,0.0,1,True,False,False,False,False,False,7.0
65,0.0,20.2,14.6,27.1,0.0,4.3,1005.2,20.58270072937012,2024.0,11.0,13.0,2.0,1.0,5.0,0,0,0,0,0,0,1,7.0,5.0,7.0,3.0,2.0,5.0,4.857142857142857,3.7857142857142856,4.892857142857143,12.500000000000002,0,0.011957044028389374,0.0,0.0,0.0,2,False,True,False,False,False,False,14.0
66,0.0,22.2,16.8,28.8,0.0,8.9,1011.7,20.518400192260746,2024.0,11.0,14.0,3.0,1.0,6.0,0,0,0,0,0,0,0,14.0,7.0,5.0,3.0,1.0,1.0,6.428571428571429,4.642857142857143,5.214285714285714,12.0,0,-0.0031240087467055977,0.0,0.0,0.0,3,False,False,True,False,False,False,6.0
67,0.0,21.0,15.4,27.9,0.0,6.6,1016.3,20.438600540161133,2024.0,11.0,15.0,4.0,1.0,0.0,0,0,1,0,0,0,0,6.0,14.0,7.0,5.0,1.0,6.0,6.857142857142857,5.0,5.392857142857143,12.499999999999998,0,-0.003889175147763768,0.0,0.0,0.0,4,False,False,False,True,False,False,2.0
68,0.0,22.2,16.4,29.2,0.0,11.0,1012.2,20.438600540161133,2024.0,11.0,16.0,5.0,2.0,1.0,0,1,0,0,0,0,0,2.0,6.0,14.0,4.0,2.0,3.0,6.428571428571429,5.071428571428571,5.25,12.8,0,0.0,0.0,0.0,0.0,5,False,False,False,False,True,False,3.0
69,0.0,20.9,15.6,27.5,0.0,4.5,1012.2,20.438600540161133,2024.0,11.0,17.0,6.0,2.0,2.0,0,1,0,0,0,1,0,3.0,2.0,6.0,7.0,7.0,6.0,6.285714285714286,5.142857142857143,5.25,11.9,0,0.0,0.0,0.0,0.0,6,False,False,False,False,False,True,3.0
70,0.0,22.1,16.6,28.8,0.0,8.8,1011.2,20.356170654296875,2024.0,11.0,18.0,0.0,2.0,3.0,0,0,0,1,0,0,0,3.0,3.0,2.0,5.0,2.0,4.0,5.714285714285714,4.857142857142857,5.142857142857143,12.2,0,-0.0040330494107111425,0.0,0.0,0.0,0,False,False,False,False,False,False,4.0
71,0.0,22.0,16.8,28.4,1.8,7.8,1004.7,20.213289260864254,2024.0,11.0,19.0,1.0,2.0,4.0,0,0,0,0,1,0,0,4.0,3.0,3.0,7.0,4.0,2.0,5.571428571428571,5.0,5.142857142857143,11.599999999999998,1,-0.007019070328065924,0.0,0.0,0.0,1,True,False,False,False,False,False,7.0
72,0.0,23.8,18.6,30.3,0.0,9.8,1015.0,20.10972023010254,2024.0,11.0,20.0,2.0,2.0,5.0,0,0,0,0,0,0,0,7.0,4.0,3.0,14.0,3.0,7.0,5.571428571428571,5.214285714285714,5.321428571428571,11.7,0,-0.0051238088677748594,0.0,0.0,0.0,2,False,True,False,False,False,False,5.0
73,0.0,23.2,17.8,29.8,0.0,3.3,1013.0,20.274620056152344,2024.0,11.0,21.0,3.0,2.0,6.0,0,0,0,0,0,0,0,5.0,7.0,4.0,6.0,3.0,6.0,4.285714285714286,5.357142857142857,5.25,12.0,0,0.008200005975367297,0.0,0.0,0.0,3,False,False,True,False,False,False,6.0
74,0.0,23.7,18.4,30.2,0.0,7.2,1016.9,20.414119720458984,2024.0,11.0,22.0,4.0,2.0,0.0,0,0,1,0,0,0,0,6.0,5.0,7.0,2.0,5.0,11.0,4.285714285714286,5.571428571428571,5.25,11.8,0,0.006880506955014853,0.0,0.0,0.0,4,False,False,False,True,False,False,7.0
75,0.0,21.2,16.0,27.6,8.4,9.7,1012.2,20.414119720458984,2024.0,11.0,23.0,5.0,2.0,1.0,0,1,0,0,0,0,0,7.0,6.0,5.0,3.0,4.0,14.0,5.0,5.714285714285714,5.107142857142857,11.600000000000001,1,0.0,0.0,0.0,0.0,5,False,False,False,False,True,False,6.0
76,0.0,20.1,14.4,27.0,8.8,9.7,1005.9,20.414119720458984,2024.0,11.0,24.0,6.0,2.0,2.0,0,1,0,0,0,0,1,6.0,7.0,6.0,3.0,7.0,13.0,5.428571428571429,5.857142857142857,4.821428571428571,12.6,1,0.0,0.0,0.0,0.0,6,False,False,False,False,False,True,12.0
77,0.0,20.6,15.3,27.2,0.0,3.1,1019.3,20.350839614868164,2024.0,11.0,25.0,0.0,2.0,3.0,0,0,0,0,0,0,1,12.0,6.0,7.0,4.0,5.0,3.0,6.714285714285714,6.214285714285714,4.785714285714286,11.899999999999999,0,-0.0030998204408198005,0.0,0.0,0.0,0,False,False,False,False,False,False,3.0
78,0.0,21.1,15.5,27.8,0.0,8.5,1020.7,20.580469131469727,2024.0,11.0,26.0,1.0,2.0,4.0,0,0,0,0,0,0,0,3.0,12.0,6.0,7.0,7.0,3.0,6.571428571428571,6.071428571428571,4.785714285714286,12.3,0,0.011283540185427876,0.0,0.0,0.0,1,True,False,False,False,False,False,8.0
79,0.0,22.1,16.7,28.8,0.0,11.4,1014.9,20.65250015258789,2024.0,11.0,27.0,2.0,2.0,5.0,0,0,0,0,0,0,0,8.0,3.0,12.0,5.0,14.0,2.0,6.714285714285714,6.142857142857143,4.964285714285714,12.100000000000001,0,0.0034999698334388096,0.0,0.0,0.0,2,False,True,False,False,False,False,7.0
80,0.0,23.7,18.2,30.4,1.8,6.3,1010.8,20.598169326782227,2024.0,11.0,28.0,3.0,2.0,6.0,0,0,0,0,0,0,0,7.0,8.0,3.0,6.0,6.0,1.0,7.0,5.642857142857143,5.142857142857143,12.2,1,-0.002630714218823327,0.0,0.0,0.0,3,False,False,True,False,False,False,14.0
81,0.0,22.0,16.6,28.6,0.0,10.4,1011.2,20.436199188232425,2024.0,11.0,29.0,4.0,2.0,0.0,0,0,1,0,0,0,0,14.0,7.0,8.0,7.0,2.0,1.0,8.142857142857142,6.214285714285714,5.607142857142857,12.0,0,-0.007863326880180765,0.0,0.0,0.0,4,False,False,False,True,False,False,8.0
82,0.0,22.5,16.8,29.4,0.0,9.5,1010.7,20.436199188232425,2024.0,11.0,30.0,5.0,2.0,0.0,0,1,1,0,0,0,0,8.0,14.0,7.0,6.0,3.0,2.0,8.285714285714286,6.642857142857143,5.857142857142857,12.599999999999998,0,0.0,0.0,0.0,0.0,5,False,False,False,False,True,False,11.0
83,0.0,19.9,14.6,26.5,0.0,5.1,1011.4,20.436199188232425,2024.0,12.0,1.0,6.0,1.0,0.0,0,1,1,0,0,0,0,11.0,8.0,14.0,12.0,3.0,7.0,9.0,7.214285714285714,6.178571428571429,11.9,0,0.0,0.0,0.0,0.0,6,False,False,False,False,False,True,2.0
84,0.0,18.6,13.1,25.3,0.0,3.4,1004.3,20.378610610961918,2024.0,12.0,2.0,0.0,1.0,1.0,0,0,0,0,0,0,0,2.0,11.0,8.0,3.0,4.0,2.0,7.571428571428571,7.142857142857143,6.0,12.200000000000001,0,-0.00281796907243248,0.0,0.0,0.0,0,False,False,False,False,False,False,10.0
85,0.0,19.2,14.0,25.5,0.0,7.1,1007.9,20.40690040588379,2024.0,12.0,3.0,1.0,1.0,2.0,0,0,0,0,0,0,0,10.0,2.0,11.0,8.0,7.0,4.0,8.571428571428571,7.571428571428571,6.285714285714286,11.5,0,0.0013882101906719235,0.0,0.0,0.0,1,True,False,False,False,False,False,9.0
86,0.0,17.9,12.4,24.6,0.0,7.7,1013.6,20.30389976501465,2024.0,12.0,4.0,2.0,1.0,3.0,0,0,0,0,0,0,1,9.0,10.0,2.0,7.0,5.0,3.0,8.714285714285714,7.714285714285714,6.464285714285714,12.200000000000001,0,-0.005047343732781817,0.0,0.0,0.0,2,False,True,False,False,False,False,13.0
87,0.0,17.0,11.4,23.7,0.0,5.4,1008.1,20.308639526367188,2024.0,12.0,5.0,3.0,1.0,4.0,0,0,0,0,0,0,1,13.0,9.0,10.0,14.0,6.0,3.0,9.571428571428571,8.285714285714286,6.821428571428571,12.299999999999999,0,0.00023344093535704324,0.0,0.0,0.0,3,False,False,True,False,False,False,1.0
88,0.0,19.3,13.9,25.8,0.0,11.5,1014.4,20.19179916381836,2024.0,12.0,6.0,4.0,1.0,0.0,0,0,1,0,0,0,0,1.0,13.0,9.0,8.0,7.0,5.0,7.714285714285714,7.928571428571429,6.75,11.9,0,-0.0057532343511800255,0.0,0.0,0.0,4,False,False,False,True,False,False,6.0
89,0.0,19.1,13.8,25.5,0.0,5.9,1002.1,20.19179916381836,2024.0,12.0,7.0,5.0,1.0,1.0,0,1,0,0,0,0,1,6.0,1.0,13.0,11.0,6.0,4.0,7.428571428571429,7.857142857142857,6.785714285714286,11.7,0,0.0,0.0,0.0,0.0,5,False,False,False,False,True,False,3.0
90,0.0,19.2,14.0,25.6,0.0,6.8,1012.8,20.19179916381836,2024.0,12.0,8.0,6.0,1.0,2.0,0,1,0,0,0,0,0,3.0,6.0,1.0,2.0,12.0,7.0,6.285714285714286,7.642857142857143,6.75,11.600000000000001,0,0.0,0.0,0.0,0.0,6,False,False,False,False,False,True,1.0
91,0.0,20.1,14.8,26.5,0.0,3.2,1008.6,20.170900344848636,2024.0,12.0,9.0,0.0,1.0,3.0,1,0,0,0,0,0,0,1.0,3.0,6.0,10.0,3.0,5.0,6.142857142857143,6.857142857142857,6.535714285714286,11.7,0,-0.0010350151960292209,0.0,0.0,0.0,0,False,False,False,False,False,False,4.0
92,0.0,20.5,15.3,26.8,0.0,8.4,1011.8,20.245899200439453,2024.0,12.0,10.0,1.0,1.0,4.0,1,0,0,0,0,0,0,4.0,1.0,3.0,9.0,8.0,7.0,5.285714285714286,6.928571428571429,6.5,11.5,0,0.0037181709447080546,0.0,0.0,0.0,1,True,False,False,False,False,False,2.0
93,0.0,19.0,13.6,25.6,0.0,7.0,1012.7,20.1607608795166,2024.0,12.0,11.0,2.0,1.0,5.0,1,0,0,0,0,0,0,2.0,4.0,1.0,13.0,7.0,14.0,4.285714285714286,6.5,6.321428571428571,12.000000000000002,0,-0.004205213118961049,0.0,0.0,0.0,2,False,True,False,False,False,False,7.0
94,0.0,18.1,12.9,24.4,0.0,9.8,1017.7,20.114200592041016,2024.0,12.0,12.0,3.0,1.0,6.0,1,0,0,0,0,0,0,7.0,2.0,4.0,1.0,14.0,6.0,3.4285714285714284,6.5,6.071428571428571,11.499999999999998,0,-0.0023094509058381174,0.0,0.0,0.0,3,False,False,True,False,False,False,11.0
95,0.0,18.3,13.2,24.5,0.0,11.8,1019.7,20.19109916687012,2024.0,12.0,13.0,4.0,1.0,0.0,0,0,1,0,0,0,0,11.0,7.0,2.0,6.0,8.0,2.0,4.857142857142857,6.285714285714286,6.25,11.3,0,0.003823098734509589,0.0,0.0,0.0,4,False,False,False,True,False,False,5.0
96,0.0,17.4,12.0,24.0,0.0,5.7,1005.5,20.19109916687012,2024.0,12.0,14.0,5.0,1.0,1.0,0,1,0,0,0,0,0,5.0,11.0,7.0,3.0,11.0,3.0,4.714285714285714,6.071428571428571,6.357142857142857,12.0,0,0.0,0.0,0.0,0.0,5,False,False,False,False,True,False,8.0
